Unique ID,Longitude (X),Latitude (Y),Match,State_Code,County_Code,Tract_Code,Block_Code,GEOID,state,county,cbsa,poverty_rate,mfi,state_mfi,cbsa_mfi,area_mfi,mfi_ratio,eligible_lic,rural_status,DC_Status,DC_Confidence
digital-realty-silicon-valley-sjc30-ca,-121.9581107,37.3782874,Match,6,85,505202,2043,6085505202,California, Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",19.125883,163550.0,113346.0,184762.0,184762.0,0.88519287,0.0,0.0,operational,reported
cleanspark-brazoria-county-tx,-95.431,29.1694,Match,48,39,662300,4032,48039662300,Texas, Brazoria County,"Houston-Pasadena-The Woodlands, TX",17.309175,106053.0,94599.0,98582.0,98582.0,1.0757847,0.0,1.0,proposed,reported
lerner-brightseat-tech-park-md,-76.868,38.931,Match,24,33,803508,2009,24033803508,Maryland, Prince George's County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",26.019314,94348.0,127817.0,154653.0,154653.0,0.61006254,1.0,0.0,permitted,confirmed
adp-ladysmith-data-hub-caroline-va,-77.5030262165529,38.00386898862997,Match,51,33,30502,1000,51033030502,Virginia, Caroline County,,12.431973,91045.0,115213.0,,115213.0,0.790232,0.0,1.0,proposed,reported
coresite-la1-los-angeles-ca,-118.2555541,34.0478871,Match,6,37,207712,2010,6037207712,California, Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",26.686808,105106.0,113346.0,108949.0,108949.0,0.96472663,1.0,0.0,operational,reported
stack-infrastructure-goldendale-data-center-wa,-120.8217,45.8213,Match,53,39,950103,2020,53039950103,Washington, Klickitat County,,17.966963,59287.0,118075.0,,118075.0,0.50211304,1.0,1.0,proposed,reported
tierpoint-nashville-tn,-86.8556872,35.9245097,Match,47,187,50904,3007,47187050904,Tennessee, Williamson County,"Nashville-Davidson--Murfreesboro--Franklin, TN",5.8516197,135543.0,87314.0,105115.0,105115.0,1.2894734,0.0,0.0,operational,reported
cleanspark-jellico-tn,-84.1306,36.5825,Match,47,13,950200,1050,47013950200,Tennessee, Campbell County,"Knoxville, TN",24.257425,79531.0,87314.0,92008.0,92008.0,0.86439222,1.0,1.0,operational,confirmed
beale-project-blue-pima-county-az,-110.75,32.1,Match,4,19,4062,2000,4019004062,Arizona, Pima County,"Tucson, AZ",11.076828,127719.0,95980.0,90806.0,90806.0,1.406504,0.0,0.0,under_construction,confirmed
isocentric-networks-tulsa-ok,-95.9928,36.154,Match,40,143,2500,1044,40143002500,Oklahoma, Tulsa County,"Tulsa, OK",23.428375,72317.0,82385.0,88320.0,88320.0,0.81880659,1.0,0.0,operational,reported
long-ferry-road-rowan-county-nc,-80.3974,35.6944,Match,37,159,50901,1031,37159050901,North Carolina, Rowan County,"Charlotte-Concord-Gastonia, NC-SC",17.91292,62277.0,90290.0,102246.0,102246.0,0.60908985,1.0,1.0,proposed,reported
digital-realty-727-s-grand-ave-la-ca,-118.257149,34.046823,Match,6,37,207712,1000,6037207712,California, Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",26.686808,105106.0,113346.0,108949.0,108949.0,0.96472663,1.0,0.0,proposed,reported
applied-digital-jamestown-nd,-98.679092,47.029587,Match,38,93,967000,1329,38093967000,North Dakota, Stutsman County,,7.2864323,130789.0,104993.0,,104993.0,1.2456926,0.0,1.0,operational,confirmed
alterra-development-marshall-mi,-84.955,42.276,Match,26,25,3900,3009,26025003900,Michigan, Calhoun County,"Battle Creek, MI",4.5114436,133058.0,93357.0,79554.0,79554.0,1.6725495,0.0,1.0,proposed,confirmed
h5-data-centers-albuquerque-nm,-106.6512,35.0862,Match,35,1,2100,1030,35001002100,New Mexico, Bernalillo County,"Albuquerque, NM",21.513447,34821.0,79556.0,88526.0,88526.0,0.39334208,1.0,0.0,operational,reported
stream-chicago-iii-ordc-elk-grove-village-il,-87.9703,42.0039,Match,17,31,770300,3018,17031770300,Illinois, Cook County,"Chicago-Naperville-Elgin, IL-IN",8.7209301,97601.0,106018.0,113207.0,113207.0,0.86214632,0.0,0.0,under_construction,reported
aws-project-spectrum-somervell-county-tx,-97.7561,32.2373,Match,48,425,200,1021,48425000200,Texas, Somervell County,,7.0175438,99091.0,94599.0,,94599.0,1.0474846,0.0,1.0,proposed,reported
ntt-ashburn-va2-data-center-va,-77.4576402,39.0250127,Match,51,107,611006,1014,51107611006,Virginia, Loudoun County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.078522,211875.0,115213.0,154653.0,154653.0,1.3700025,0.0,0.0,operational,reported
bitdeer-rockdale-tx,-97.0025,30.6549,Match,48,331,950700,1029,48331950700,Texas, Milam County,,8.4982748,102819.0,94599.0,,94599.0,1.0868931,0.0,1.0,operational,confirmed
google-jackson-county-stevenson-al,-85.755,34.8842,Match,1,71,950302,1055,1071950302,Alabama, Jackson County,,35.121952,45938.0,83032.0,,83032.0,0.55325657,1.0,1.0,operational,confirmed
google-stillwater-ok,-97.06,36.14,Match,40,119,10102,4009,40119010102,Oklahoma, Payne County,,37.76091,66797.0,82385.0,,82385.0,0.81079078,1.0,1.0,under_construction,confirmed
google-nebraska-ai-campus-proposed,-96.371,40.474,Match,31,97,967500,2017,31097967500,Nebraska, Johnson County,,7.2952852,89000.0,99751.0,,99751.0,0.89222163,0.0,1.0,proposed,reported
sholes-wind-energy-center-wayne-ne,-97.0178,42.2308,Match,31,179,978700,4034,31179978700,Nebraska, Wayne County,,18.938627,80625.0,99751.0,,99751.0,0.80826259,0.0,1.0,operational,reported
lumen-cincinnati-1-oh,-84.5031833,39.1019019,Match,39,61,26500,2007,39061026500,Ohio, Hamilton County,"Cincinnati, OH-KY-IN",25.528219,106364.0,92749.0,104379.0,104379.0,1.0190172,1.0,0.0,operational,confirmed
