Unique ID,Longitude (X),Latitude (Y),Match,State_Code,County_Code,Tract_Code,Block_Code,GEOID,state,county,cbsa,poverty_rate,mfi,state_mfi,cbsa_mfi,area_mfi,mfi_ratio,eligible_lic,rural_status,DC_Status,DC_Confidence,GEO_fixed,both
digital-realty-silicon-valley-sjc30-ca,-121.9581107,37.3782874,Match,6,85,505202,2043,6085505202,California,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",19.125883,163550,113346,184762,184762,0.88519287,0,0,operational,reported,06085505202,0
cleanspark-brazoria-county-tx,-95.431,29.1694,Match,48,39,662300,4032,48039662300,Texas,Brazoria County,"Houston-Pasadena-The Woodlands, TX",17.309175,106053,94599,98582,98582,1.0757847,0,1,proposed,reported,48039662300,0
lerner-brightseat-tech-park-md,-76.868,38.931,Match,24,33,803508,2009,24033803508,Maryland,Prince George's County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",26.019314,94348,127817,154653,154653,0.61006254,1,0,permitted,confirmed,24033803508,0
adp-ladysmith-data-hub-caroline-va,-77.5030262165529,38.00386898862997,Match,51,33,30502,1000,51033030502,Virginia,Caroline County,NA,12.431973,91045,115213,NA,115213,0.790232,0,1,proposed,reported,51033030502,0
coresite-la1-los-angeles-ca,-118.2555541,34.0478871,Match,6,37,207712,2010,6037207712,California,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",26.686808,105106,113346,108949,108949,0.96472663,1,0,operational,reported,06037207712,0
stack-infrastructure-goldendale-data-center-wa,-120.8217,45.8213,Match,53,39,950103,2020,53039950103,Washington,Klickitat County,NA,17.966963,59287,118075,NA,118075,0.50211304,1,1,proposed,reported,53039950103,1
tierpoint-nashville-tn,-86.8556872,35.9245097,Match,47,187,50904,3007,47187050904,Tennessee,Williamson County,"Nashville-Davidson--Murfreesboro--Franklin, TN",5.8516197,135543,87314,105115,105115,1.2894734,0,0,operational,reported,47187050904,0
cleanspark-jellico-tn,-84.1306,36.5825,Match,47,13,950200,1050,47013950200,Tennessee,Campbell County,"Knoxville, TN",24.257425,79531,87314,92008,92008,0.86439222,1,1,operational,confirmed,47013950200,1
beale-project-blue-pima-county-az,-110.75,32.1,Match,4,19,4062,2000,4019004062,Arizona,Pima County,"Tucson, AZ",11.076828,127719,95980,90806,90806,1.406504,0,0,under_construction,confirmed,04019004062,0
isocentric-networks-tulsa-ok,-95.9928,36.154,Match,40,143,2500,1044,40143002500,Oklahoma,Tulsa County,"Tulsa, OK",23.428375,72317,82385,88320,88320,0.81880659,1,0,operational,reported,40143002500,0
long-ferry-road-rowan-county-nc,-80.3974,35.6944,Match,37,159,50901,1031,37159050901,North Carolina,Rowan County,"Charlotte-Concord-Gastonia, NC-SC",17.91292,62277,90290,102246,102246,0.60908985,1,1,proposed,reported,37159050901,1
digital-realty-727-s-grand-ave-la-ca,-118.257149,34.046823,Match,6,37,207712,1000,6037207712,California,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",26.686808,105106,113346,108949,108949,0.96472663,1,0,proposed,reported,06037207712,0
applied-digital-jamestown-nd,-98.679092,47.029587,Match,38,93,967000,1329,38093967000,North Dakota,Stutsman County,NA,7.2864323,130789,104993,NA,104993,1.2456926,0,1,operational,confirmed,38093967000,0
alterra-development-marshall-mi,-84.955,42.276,Match,26,25,3900,3009,26025003900,Michigan,Calhoun County,"Battle Creek, MI",4.5114436,133058,93357,79554,79554,1.6725495,0,1,proposed,confirmed,26025003900,0
h5-data-centers-albuquerque-nm,-106.6512,35.0862,Match,35,1,2100,1030,35001002100,New Mexico,Bernalillo County,"Albuquerque, NM",21.513447,34821,79556,88526,88526,0.39334208,1,0,operational,reported,35001002100,0
stream-chicago-iii-ordc-elk-grove-village-il,-87.9703,42.0039,Match,17,31,770300,3018,17031770300,Illinois,Cook County,"Chicago-Naperville-Elgin, IL-IN",8.7209301,97601,106018,113207,113207,0.86214632,0,0,under_construction,reported,17031770300,0
aws-project-spectrum-somervell-county-tx,-97.7561,32.2373,Match,48,425,200,1021,48425000200,Texas,Somervell County,NA,7.0175438,99091,94599,NA,94599,1.0474846,0,1,proposed,reported,48425000200,0
ntt-ashburn-va2-data-center-va,-77.4576402,39.0250127,Match,51,107,611006,1014,51107611006,Virginia,Loudoun County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.078522,211875,115213,154653,154653,1.3700025,0,0,operational,reported,51107611006,0
bitdeer-rockdale-tx,-97.0025,30.6549,Match,48,331,950700,1029,48331950700,Texas,Milam County,NA,8.4982748,102819,94599,NA,94599,1.0868931,0,1,operational,confirmed,48331950700,0
google-jackson-county-stevenson-al,-85.755,34.8842,Match,1,71,950302,1055,1071950302,Alabama,Jackson County,NA,35.121952,45938,83032,NA,83032,0.55325657,1,1,operational,confirmed,01071950302,1
google-stillwater-ok,-97.06,36.14,Match,40,119,10102,4009,40119010102,Oklahoma,Payne County,NA,37.76091,66797,82385,NA,82385,0.81079078,1,1,under_construction,confirmed,40119010102,1
google-nebraska-ai-campus-proposed,-96.371,40.474,Match,31,97,967500,2017,31097967500,Nebraska,Johnson County,NA,7.2952852,89000,99751,NA,99751,0.89222163,0,1,proposed,reported,31097967500,0
sholes-wind-energy-center-wayne-ne,-97.0178,42.2308,Match,31,179,978700,4034,31179978700,Nebraska,Wayne County,NA,18.938627,80625,99751,NA,99751,0.80826259,0,1,operational,reported,31179978700,0
lumen-cincinnati-1-oh,-84.5031833,39.1019019,Match,39,61,26500,2007,39061026500,Ohio,Hamilton County,"Cincinnati, OH-KY-IN",25.528219,106364,92749,104379,104379,1.0190172,1,0,operational,confirmed,39061026500,0
microsoft-boydton-bn-campus-mecklenburg-va,-78.36487,36.65969,Match,51,117,930600,1034,51117930600,Virginia,Mecklenburg County,NA,15.711947,83281,115213,NA,115213,0.72284377,0,1,operational,reported,51117930600,0
lumen-cleveland-1-oh,-81.6577764,41.5050658,Match,39,35,108301,2027,39035108301,Ohio,Cuyahoga County,"Cleveland, OH",26.6061,45333,92749,95803,95803,0.47318977,1,0,operational,reported,39035108301,0
valorc3-oklahoma-city-ok,-97.5164,35.4676,Match,40,109,980007,1008,40109980007,Oklahoma,Oklahoma County,"Oklahoma City, OK",28.117359,165278,82385,90681,90681,1.822631,0,0,operational,reported,40109980007,0
bitfarms-moses-lake-wa,-119.2781,47.1301,Match,53,25,11102,1012,53025011102,Washington,Grant County,NA,31.021801,65149,118075,NA,118075,0.55175948,1,1,under_construction,confirmed,53025011102,1
digital-realty-charlotte-nc,-80.9562,35.2422,Match,37,119,5919,2004,37119005919,North Carolina,Mecklenburg County,"Charlotte-Concord-Gastonia, NC-SC",2.6275587,111184,90290,102246,102246,1.0874166,0,0,permitted,confirmed,37119005919,0
flexential-charlotte-north-clt04-05-nc,-80.7657588,35.329773,Match,37,119,5533,1007,37119005533,North Carolina,Mecklenburg County,"Charlotte-Concord-Gastonia, NC-SC",13.614704,88625,90290,102246,102246,0.86678207,0,0,operational,reported,37119005533,0
riot-platforms-corsicana-tx,-96.47,32.09,Match,48,349,970800,1094,48349970800,Texas,Navarro County,NA,16.185696,90179,94599,NA,94599,0.95327646,0,1,operational,reported,48349970800,0
rattlesnake-creek-wind-dixon-ne,-96.8,42.35,Match,31,51,977800,1183,31051977800,Nebraska,Dixon County,NA,7.5299306,81719,99751,NA,99751,0.8192299,0,1,operational,confirmed,31051977800,0
cloverleaf-cherry-blossom-frenchtown-mi,-83.386,41.988,Match,26,115,831100,1025,26115831100,Michigan,Monroe County,"Monroe, MI",12.756114,89000,93357,95770,95770,0.92930979,0,1,proposed,confirmed,26115831100,0
